"TIMESTAMP","power","tclw","tciw","sp","rh","tcc","10u","10v","2t","ssrd","strd","tsr","tp","cs_ghi"
"20120401 01:00",0.754102564102564,0.001966858,0.003608704,94843.625,60.22190857,0.244601131,1.039334297,-2.50303936,294.4484863,2678046.5,1223378.5,2974689,0,717.082397460938
"20120401 02:00",0.555,0.00552449,0.033574812,94757.9375,54.67860413,0.457137644,2.482865334,-2.993330002,295.6513672,2671979,1239402,3038689.5,0,786.698303222656
"20120401 03:00",0.438397435897436,0.03011322,0.132008791,94732.8125,61.29489136,0.77142942,3.339866638,-1.982535362,294.4545898,2252213.5,1237373.5,2691150.5,0.001340866,791.051086425781
"20120401 04:00",0.145448717948718,0.057167053,0.110645294,94704.0625,67.77528381,0.965866208,3.10610199,-1.446050644,293.2614746,1610654.5,1286522,2083191,0.002501488,730.861145019531
"20120401 05:00",0.111987179487179,0.051026557,0.189559937,94675,70.17298889,0.944668651,2.601145744,-1.904493332,292.7329102,977623.5,1318455.5,1433412,0.003331184,611.044738769531
"20120401 06:00",0.0572435897435897,0.036995962,0.0990448,94676.9375,72.3740387,0.641353369,1.333368301,-1.728430748,292.0771484,565747,1272118.5,909892,0.003960133,440.866760253906
"20120401 07:00",0.0887179487179487,0.080911219,0.121322632,94708.0625,81.79873657,0.753142357,1.457922935,-1.034620285,291.0693359,267761.5,1241376,457224,0.004969597,239.693069458008
"20120401 08:00",0.0300641025641026,0.03615883,0.139068604,94748.8125,87.85406494,0.788338363,2.374826431,-1.089039803,289.0734863,38349.5,1229349.5,93804.5,0.006476879,51.8775863647461
"20120401 09:00",0.000128205128205128,0.036372229,0.072608948,94785.8125,88.79348755,0.502274573,1.985530853,-0.963009834,288.03125,0,1209482.5,0,0.006724834,0
"20120401 10:00",0,0.014352933,0.035797119,94817.75,90.45066833,0.501918316,1.999518394,-0.930319786,287.4057617,0,1171281.5,-192,0.006744862,0
"20120401 11:00",0,0.00538747,0.004501343,94847.375,90.67617798,0.156774283,1.809739113,-0.098176956,286.3208008,0,1132216.5,-192,0.00674963,0
"20120401 12:00",0,0.000869751,0,94852.0625,92.9289093,0.014343262,1.35490799,-0.922255516,285.0354004,0,1110123.5,0,0.00674963,0
"20120401 13:00",0,0,0,94810.625,94.98951721,0.004364014,1.256863594,-1.156412125,284.7331543,0,1093661.5,0,0.00674963,0
"20120401 14:00",0,0,0,94758.125,94.81033325,0,0.921033859,-0.804039002,284.4626465,0,1084593,0,0.00674963,0
"20120401 15:00",0,0.001480103,0,94730.375,95.55996704,0.039764404,0.622429848,0.318148613,284.1330566,0,1084328,0,0.00674963,0
