"TIMESTAMP","power","tclw","tciw","sp","rh","tcc","10u","10v","2t","ssrd","strd","tsr","tp","cs_ghi"
"20120401 01:00",0.799,0.003530884,0.024673462,92667.625,57.00315857,0.238146663,0.986233711,-3.133410454,293.9035645,2676318.5,1170546.5,2990465,0,717.082397460938
"20120401 02:00",0.8175,0.027481887,0.140474021,92622.6875,64.96083069,0.561614573,2.68843174,-2.574872971,293.1965332,2553931,1186510,2960385.5,0.000773549,786.698303222656
"20120401 03:00",0.5715,0.032356262,0.136616945,92598.8125,66.79586792,0.661611915,2.884544373,-1.893668175,292.5925293,2133365.5,1199501.5,2598958.5,0.001671195,791.051086425781
"20120401 04:00",0.063775,0.031951904,0.097370148,92542.0625,65.17762756,0.941558957,3.175682068,-1.6398983,292.1748047,1669854.5,1241554,2128663,0.002083778,730.861145019531
"20120401 05:00",0.1037,0.048493598,0.163772583,92508,65.74427795,0.944683909,2.697337151,-1.880079269,291.5844727,1085719.5,1263015.5,1527108,0.002533913,611.044738769531
"20120401 06:00",0.054575,0.035927847,0.109870911,92516.6875,69.72169495,0.760051489,1.109003067,-2.157141685,290.9304199,579827,1231766.5,922692,0.002608776,440.866760253906
"20120401 07:00",0.12335,0.020776376,0.090019226,92539.0625,76.37783813,0.582350731,1.172278404,-1.815748215,289.8535156,259633.5,1204192,444488,0.002652645,239.693069458008
"20120402 00:00",0.1542,0.04183197,0,92554.375,68.17610168,0.786148071,0.168397903,-0.754458427,289.7402344,1514841.5,1267421,1938041,0.002846718,597.4658203125
"20120402 01:00",0.522925,0.089595795,0,92573.0625,72.44526672,0.735015869,0.837942123,-2.325688362,290.3027344,1560475,1319290.5,2074509,0.000141338,732.189331054688
"20120402 02:00",0.74305,0.066978455,0,92502.125,63.37132263,0.609970093,1.525101662,-2.441175461,291.5786133,1781457,1316454,2276833,0.000210881,806.453369140625
"20120402 03:00",0.80345,0.050376892,0,92431.875,56.71278381,0.626144409,1.654125214,-2.579784393,292.4353027,1788127,1298227.5,2257964.5,0.000230789,814.669311523438
